 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
54865,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,"6,666,666,667",3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,"6,666,666,667",0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,33,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,1293792,3,7,26,11607,20,0,"8,666,666,667","1,026,320,288",5840,0,"1,658,142,857","213,729,708","8,991,398,927","772,921,768","1,437,546,667","4,308,658,067",1292730,2,747,373.5,"5,239,661,249",744,3,1293746,"2,156,243,333","5,276,719,348",1292730,2,0,0,0,0,152,"2,318,765,304","5,410,452,376",0,5840,"1,057,545,455","1,853,437,529","3,435,230,673",0,0,0,1,0,0,0,0,2,1163.3,"8,666,666,667","1,658,142,857",72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,4421382,4,0,24,0,6,6,6,0,0,0,0,0,"542,816,703",0.904694505,1473794,"2,552,042,631",4420639,340,4421382,1473794,"2,552,042,631",4420639,340,0,0,0,0,0,0,0,0,0,0,0.904694505,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS
80,1083538,3,6,26,11601,20,0,"8,666,666,667","1,026,320,288",4380,0,1933.5,"1,757,789,948","1,073,058,813","8,306,123,089",135442.25,"377,725,315",1070206,41,12982,6491,"8,165,669,109",12265,717,1083407,216681.4,"4,771,670,977",1070206,41,0,0,0,0,132,"2,768,707,696","5,537,415,393",0,4380,1162.7,"1,645,241,762","2,706,820,456",0,0,0,1,0,0,0,0,2,"1,291,888,889","8,666,666,667",1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
58644,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
58643,87,1,1,6,6,6,6,6,0,6,6,6,0,"1,379,310,345","2,298,850,575",87,0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"1,149,425,287","1,149,425,287",6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,30,255,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5021059,6,5,703,1414,356,0,"1,171,666,667","1,815,361,305",1050,0,282.8,"456,923,626","4,216,242,032","2,190,772,903",502105.9,"1,568,379,157",4965658,19,55401,11080.2,"1,761,266,701",41863,19,5020928,1255232,"2,499,939,593",5005133,1053,0,0,0,0,168,"1,194,967,038",0.995805865,0,1050,"1,764,166,667","3,174,711,034","1,007,879,015",0,0,0,1,0,0,0,0,0,"1,924,545,455","1,171,666,667",282.8,200,0,0,0,0,0,0,6,703,5,1414,29200,243,2,32,0,0,0,0,0,0,0,0,PortScan
80,70,1,1,0,0,0,0,0,0,0,0,0,0,0,"2,857,142,857",70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"1,428,571,429","1,428,571,429",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,253,243,0,32,0,0,0,0,0,0,0,0,PortScan
80,5024211,6,5,703,1414,356,0,"1,171,666,667","1,815,361,305",1050,0,282.8,"456,923,626","4,213,596,921","2,189,398,495",502421.1,"1,567,646,993",4963884,19,60327,12065.4,"1,790,339,797",42441,19,5024076,1256019,"2,498,298,343",5003449,948,0,0,0,0,168,"1,194,217,361",0.995181134,0,1050,"1,764,166,667","3,174,711,034","1,007,879,015",0,0,0,1,0,0,0,0,0,"1,924,545,455","1,171,666,667",282.8,200,0,0,0,0,0,0,6,703,5,1414,29200,243,2,32,0,0,0,0,0,0,0,0,PortScan
80,5216127,3,1,0,0,0,0,0,0,0,0,0,0,0,0.766852494,1738709,"3,010,454,167",5214882,124,5216127,2608063.5,"3,686,598,077",5214882,1245,0,0,0,0,0,0,0,0,0,40,0.575139371,0.191713124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Brute Force
21,20,1,1,0,0,0,0,0,0,0,0,0,0,0,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50000,50000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,Brute Force
21,38,1,1,0,0,0,0,0,0,0,0,0,0,0,"5,263,157,895",38,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"2,631,578,947","2,631,578,947",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,Brute Force
80,5169956,8,6,1101,4222,410,0,137.625,"1,857,586,279",3525,0,"7,036,666,667","1,395,868,284","1,029,602,573","2,707,953,414","3,976,889,231","1,368,409,299",4951173,112,218783,"3,125,471,429","3,068,629,396",78311,219,5169833,1033966.6,2218975.06,5002421,840,0,0,0,0,132,"1,547,401,951","1,160,551,463",0,3525,"3,548,666,667","8,951,151,456","8,012,311,238",0,0,0,1,0,0,0,0,0,"3,802,142,857",137.625,"7,036,666,667",172,0,0,0,0,0,0,8,1101,6,4222,8192,254,7,20,0,0,0,0,0,0,0,0,dos
80,229,2,0,12,0,6,6,6,0,0,0,0,0,"5,240,174,672","8,733,624,454",229,0,229,229,229,229,0,229,229,0,0,0,0,0,0,0,0,0,0,"8,733,624,454",0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,dos
80,5001928,3,1,12,0,6,0,4,"3,464,101,615",0,0,0,0,"2,399,074,917",0.799691639,"1,667,309,333","2,886,995,878",5000925,127,5001928,2500964,"3,535,478,752",5000925,1003,0,0,0,0,0,0,0,0,0,32,0.599768729,0.19992291,0,6,2.4,"3,286,335,345",10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0,0,0,0,0,0,0,0,dos
